کارنامه سال,سهمیه,قبولی,رتبه سهمیه زیرگروه ۱,رتبه سهمیه زیرگروه ۲,رتبه سهمیه زیرگروه ۳,رتبه سهمیه زیرگروه ۴,معدل موثر,زبان انگلیسی,مجموعه ریاضیات,دروس تخصصی ۱,دروس تخصصی ۲,دروس تخصصی ۳,دروس تخصصی ۴,رتبه کشور زیرگروه ۱,رتبه کشور زیرگروه ۲,رتبه کشور زیرگروه ۳,رتبه کشور زیرگروه ۴,میانگین درصد ضریب ۱,میانگین درصد ضریب ۲,میانگین درصد ضریب ۳,میانگین درصد ضریب ۴
1404,0,بیوانفورماتیک شریف,106,85,100,94,19.99,37.33,13.33,63.33,46.67,45.00,35.00,117,95,109,103,40.38,42.38,41.04,41.16
1404,0,رایانش امن شریف,108,153,95,128,19.65,8.00,10.00,50.00,25.00,70.00,48.33,119,166,103,139,40.42,37.53,41.87,38.87
1404,0,معماری شریف,112,111,108,120,19.68,89.33,38.33,56.67,23.33,41.67,31.67,123,122,118,130,40.07,40.51,40.73,39.51
1404,0,شبکه‌های کامپیوتری تهران,113,155,120,136,17.17,20.00,0.00,50.00,31.67,65.00,56.67,124,168,131,148,42.45,39.78,43.00,40.78
1404,0,-,116,117,129,122,20.00,30.67,45.00,50.00,28.33,36.67,40.00,127,128,141,133,38.38,38.49,38.16,37.60
1404,0,-,117,175,112,143,17.85,68.00,15.00,40.00,21.67,63.33,48.33,128,189,122,155,41.75,38.42,42.75,39.98
1404,0,-,118,144,147,114,20.00,82.67,5.00,0.00,55.00,35.00,53.33,129,157,159,124,38.40,36.18,37.18,38.51
1404,0,نرم افزار امیرکبیر,119,164,124,144,17.54,0.00,0.00,50.00,33.33,63.33,58.33,130,177,136,156,41.55,39.00,41.89,39.89
1404,0,نرم افزار تهران نوبت دوم,120,135,134,126,18.64,5.33,0.00,50.00,41.67,51.67,55.00,131,148,146,137,40.36,39.36,40.13,39.47
1404,0,هوش مصنوعی امیرکبیر,122,147,174,151,18.43,0.00,8.33,36.67,40.00,33.33,70.00,133,160,187,164,39.33,37.56,36.89,37.33
1404,0,معماری شریف,126,240,144,198,18.49,82.67,-1.66,26.67,11.67,58.33,66.67,137,260,156,214,40.62,34.85,40.07,36.96
1404,0,معماری شریف,129,127,114,119,18.44,4.00,5.00,56.67,46.67,63.33,36.67,141,140,124,129,40.27,40.49,42.05,40.93
1404,0,معماری صنعتی شریف,134,150,125,132,19.84,96.00,-1.66,40.00,35.00,55.00,33.67,146,163,137,143,38.49,37.58,39.91,38.58
1404,0,رایانش امن شریف,135,154,130,135,19.15,80.00,3.33,40.00,35.00,56.67,38.33,147,167,142,147,39.67,38.33,40.89,39.44
1404,0,-,138,169,143,150,17.28,0.00,0.00,50.00,40.00,60.00,51.67,150,183,155,163,40.45,39.00,41.00,39.67
1404,0,شبکه‌های کامپیوتری تهران نوبت دوم,142,118,179,141,18.22,42.67,8.33,56.67,46.67,26.67,48.33,154,129,193,153,39.07,40.96,37.62,38.96
1404,0,هوش مصنوعی دانشگاه شیراز,143,97,153,98,15.18,76.00,6.67,66.67,58.33,33.33,45.00,155,107,166,108,45.18,48.29,44.40,46.07
1404,0,نرم افزار تهران,148,103,136,124,17.99,6.67,3.33,90.00,45.00,51.67,30.00,161,114,148,135,40.22,43.78,41.67,41.22
1404,0,الگوریتم تهران,150,119,132,104,17.88,0.00,36.67,36.67,61.67,48.33,23.33,163,131,144,114,38.00,39.78,39.67,40.56
1404,0,هوش مصنوعی امیرکبیر,155,177,141,175,19.60,76.00,23.33,50.00,21.67,53.33,30.00,171,191,153,188,37.84,37.07,39.40,37.29
1404,0,-,156,107,178,142,17.00,58.67,46.67,63.33,41.67,15.00,31.67,172,118,203,154,38.36,42.25,37.25,39.02
1404,0,نرم افزار امیرکبیر,157,227,122,171,16.37,0.00,11.67,40.00,31.67,85.00,38.33,173,247,134,184,40.44,37.00,43.56,40.00
1404,0,هوش مصنوعی شهید بهشتی,160,190,127,130,15.15,0.00,23.33,26.67,51.67,73.33,33.33,176,206,139,141,40.55,38.67,43.22,41.78
1404,0,هوش مصنوعی تهران نوبت دوم,162,120,170,134,18.98,0.00,30.00,53.33,50.00,33.33,33.33,178,132,183,145,36.66,39.11,36.66,37.78
1404,0,الگوریتم تهران,165,202,139,170,14.93,14.67,35.00,43.33,31.67,68.33,35.00,181,218,151,183,40.76,38.87,42.98,40.53
1404,0,-,170,199,172,182,17.95,76.00,8.33,33.33,35.00,48.33,41.67,186,215,185,196,38.40,36.95,38.84,37.95
1404,0,نرم افزار علم و صنعت,174,186,180,198,17.99,37.33,23.33,50.00,26.67,45.00,41.67,190,201,194,214,37.71,37.05,37.93,36.71
1404,0,-,176,195,207,190,20.00,0.00,41.67,23.33,36.67,30.00,45.00,192,211,223,206,34.00,33.00,33.00,33.45
1404,0,-,177,207,150,168,15.49,0.00,16.67,36.67,45.00,66.67,38.33,193,224,163,181,39.67,38.11,41.56,40.11
1404,0,معماری شریف,185,162,137,156,15.42,26.67,10.00,70.00,40.00,71.67,23.33,201,175,149,169,41.00,42.00,44.22,42.11
1404,0,-,186,174,184,171,19.23,0.00,-3.32,46.67,50.00,48.33,40.00,202,188,199,184,36.11,36.67,36.67,36.78
1404,0,هوش مصنوعی تربیت مدرس,187,206,160,180,19.21,32.00,35.00,33.33,31.67,53.33,28.33,203,223,173,194,35.80,34.69,37.47,36.02
1404,0,-,189,258,204,232,18.73,0.00,11.67,36.67,26.67,51.67,51.67,207,279,220,254,35.89,33.23,35.89,34.23
1404,0,شبکه‌های کامپیوتری امیرکبیر,194,308,244,266,17.28,17.33,8.33,30.00,23.33,45.00,63.33,212,331,261,286,36.82,33.15,35.60,34.15
1404,0,هوش مصنوعی امیرکبیر,195,106,221,139,16.28,94.67,51.67,50.00,56.67,3.33,20.00,213,117,238,151,37.20,42.76,36.09,39.65
1404,0,نرم افزار علم و صنعت,199,233,235,204,16.40,50.67,5.00,13.33,50.00,36.67,53.33,217,253,252,220,37.38,35.60,36.27,37.16
1404,0,شبکه‌های کامپیوتری شریف (سهمیه شاگرد اولی),203,256,342,248,19.67,41.33,28.33,0.00,36.67,5.00,66.67,221,277,368,267,32.65,30.31,28.53,30.65
1404,0,هوش مصنوعی خواجه نصیر نوبت دوم,205,316,277,317,18.17,74.67,5.00,36.67,8.33,35.00,65.00,223,341,297,343,36.53,32.87,34.53,32.76
1404,0,نرم افزار علم و صنعت,207,237,217,225,18.48,30.67,0.00,40.00,33.33,46.67,48.33,225,257,234,244,36.27,34.82,36.16,35.27
1404,0,نرم افزار شهید بهشتی,209,341,259,297,16.29,46.67,16.67,30.00,15.00,43.33,61.67,227,366,277,319,37.45,33.45,36.22,34.33
1404,0,الگوریتم دانشگاه تهران,210,222,241,226,18.66,85.33,21.67,30.00,28.33,28.33,43.33,228,241,258,245,35.46,34.58,34.46,34.46
1404,0,-,211,197,197,208,19.93,48.00,28.33,53.33,23.33,40.00,30.00,229,213,213,226,34.75,35.20,35.42,34.31
1404,0,-,213,209,178,193,20.00,16.00,13.33,43.33,36.67,56.67,28.33,231,227,191,209,34.84,34.51,36.73,35.40
